i,t,m,boys,women,girls,men,M 00-03,F 00-03,M 04-08,F 04-08,M 09-13,F 09-13,M 14-18,F 14-18,M 19-30,F 19-30,M 31-50,F 31-50,M 51+,F 51+,log HSize
10120702025,2004-05,North,1,3,3,2,0,0,1,0,0,1,0,2,2,2,0,0,0,1,2.197224577
10120702031,2004-05,North,1,1,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1.386294361
10120702057,2004-05,North,1,1,3,1,1,1,0,2,0,0,0,0,0,1,1,0,0,0,1.791759469
10120702058,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
10120702073,2004-05,North,3,1,1,1,0,1,1,0,2,0,0,0,0,0,0,1,1,0,1.791759469
10120702080,2004-05,North,0,2,4,0,0,1,0,2,0,1,0,0,0,1,0,0,0,1,1.791759469
10120702088,2004-05,North,0,2,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1.386294361
10120702095,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10120702098,2004-05,North,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
10120702120,2004-05,North,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6931471806
10120702148,2004-05,North,1,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1.386294361
10120702161,2004-05,North,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
10120702174,2004-05,North,4,1,1,1,2,0,2,0,0,1,0,0,0,1,1,0,0,0,1.945910149
10120702184,2004-05,North,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806
10120702235,2004-05,North,0,2,2,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1.609437912
10120702240,2004-05,North,2,4,3,3,0,0,1,0,0,3,3,0,1,2,0,1,0,1,2.48490665
10201021013,2004-05,North,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1.386294361
10201021017,2004-05,North,1,1,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1.386294361
10201021020,2004-05,North,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
10201021035,2004-05,North,5,4,3,2,1,0,3,1,0,1,1,1,1,1,1,2,0,1,2.63905733
10201021053,2004-05,North,1,2,1,1,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1.609437912
10201021062,2004-05,North,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10201021093,2004-05,North,7,3,1,1,3,1,1,0,2,0,1,0,0,3,1,0,0,0,2.48490665
10201021111,2004-05,North,1,1,3,1,0,0,0,1,0,2,1,0,0,0,0,1,1,0,1.791759469
