t,m,j,u,Price
2019-20,North,Traditional beer (masese),kg,256.1945699
2019-20,North,Wheat flour,kg,744.7764228
2019-20,North,White sweet potato,kg,152.2032895
2019-20,North,"Wild fruit (masau, malambe, etc)",kg,687.727752
2019-20,North,Wine or commercial liquor,kg,752.2989473
2019-20,North,"Yeast, baking powder, bicarbonate of soda",kg,1151.196679
2019-20,North,Yoghurt,kg,894.8060637
2019-20,North,Zikondamoyo / nkate,kg,224.7207467
2019-20,Southern,Apple,kg,1296.160301
2019-20,Southern,Avocado,kg,217.2679859
2019-20,Southern,Banana,kg,464.0144976
2019-20,Southern,"Bean, brown",kg,893.9669603
2019-20,Southern,"Bean, white",kg,899.6408959
2019-20,Southern,Beef,kg,2237.571568
2019-20,Southern,Biscuits,kg,1037.193952
2019-20,Southern,Boiled groundnuts,kg,566.6173193
2019-20,Southern,Boiled sweet potatoes,kg,196.1408014
2019-20,Southern,"Bottled / canned beer (carlsberg, etc)",kg,1182.194911
2019-20,Southern,Bottled water,kg,344.3837584
2019-20,Southern,Bread,kg,918.3253542
2019-20,Southern,Breakfast cereals,kg,2621.558098
2019-20,Southern,"Buns, scones",kg,998.9768483
2019-20,Southern,Butter,kg,3047.568437
2019-20,Southern,Cabbage,kg,146.2973387
2019-20,Southern,Cassava - boiled (vendor),kg,161.3533992
2019-20,Southern,Cassava - roasted (vendor),kg,943.9457652
2019-20,Southern,Cassava flour,kg,320.78871
2019-20,Southern,Cassava tubers,kg,266.891592
2019-20,Southern,Chambiko - soured milk,kg,875.9899385
2019-20,Southern,Cheese,kg,4666.666667
2019-20,Southern,Chibuku(commercial traditional-style beer),kg,521.7037113
2019-20,Southern,Chicken (vendor),kg,3252.974484
2019-20,Southern,Chicken - pieces,kg,502.1920519
2019-20,Southern,Chicken - whole,kg,4581.752071
2019-20,Southern,Chinese cabbage,kg,329.3962291
2019-20,Southern,Chips (vendor),kg,1015.858682
2019-20,Southern,"Citrus – naartje, orange, etc",kg,343.2376137
2019-20,Southern,"Cocoa, milo",kg,11341.9929
2019-20,Southern,Cocoyam (masimbi),kg,573.1481587
2019-20,Southern,Coffee,kg,21724.6737
2019-20,Southern,Cooking oil,kg,1193.028268
2019-20,Southern,Cowpea (khobwe),kg,570.6903879
2019-20,Southern,Cucumber,kg,267.0099793
2019-20,Southern,Eggs,kg,1573.602739
2019-20,Southern,Eggs - boiled (vendor),kg,1645.593907
2019-20,Southern,Finger millet (mawere),kg,782.6378977
2019-20,Southern,Fish (vendor),kg,1742.122
2019-20,Southern,Fish soup/sauce,kg,
2019-20,Southern,Freezes (flavoured ice),kg,172.8984743
2019-20,Southern,Fresh fish (large variety),kg,3706.196226
2019-20,Southern,Fresh fish (medium variety),kg,3173.141226
2019-20,Southern,Fresh fish (small variety),kg,1555.04677
2019-20,Southern,Fresh milk,kg,512.0232753
2019-20,Southern,Fruit juice,kg,448.2621295
2019-20,Southern,Gathered wild green leaves,kg,362.310202
2019-20,Southern,Goat,kg,2145.679052
2019-20,Southern,Green maize,kg,209.1646385
2019-20,Southern,Ground bean (nzama),kg,897.9516541
2019-20,Southern,Groundnut (shelled),kg,883.9257848
2019-20,Southern,Groundnut dried (unshelled),kg,793.3195272
2019-20,Southern,Groundnut flour,kg,1234.349999
2019-20,Southern,Groundnut fresh (unshelled),kg,115305.5658
2019-20,Southern,Guava,kg,278.8523554
2019-20,Southern,Honey,kg,4506.682776
2019-20,Southern,"Hot sauce (nali, etc)",kg,2578.678001
2019-20,Southern,Infant feeding cereals,kg,2360.541311
2019-20,Southern,Infant feeding formula (for bottle),kg,4819.969697
2019-20,Southern,Irish potato,kg,476.7127545
2019-20,Southern,"Jam, jelly",kg,2632.954545
2019-20,Southern,Kalongonda (mucuna),kg,334.3355225
2019-20,Southern,Locally brewed liquor (kachasu ),kg,680.6406576
2019-20,Southern,Macademia nuts,kg,2153.148443
2019-20,Southern,Maheu,kg,596.8572664
2019-20,Southern,Maize - boiled or roasted (vendor),kg,278.0204852
2019-20,Southern,Maize grain (not as ufa),kg,379.3486626
2019-20,Southern,Maize ufa mgaiwa (normal flour),kg,359.059051
2019-20,Southern,Maize ufa processed madeya (bran flour - processed),kg,286.2053963
2019-20,Southern,Maize ufa raw madeya (bran flour - unprocessed),kg,344.322621
2019-20,Southern,Maize ufa refined (fine flour),kg,429.9464121
2019-20,Southern,"Mandazi, doughnut (vendor)",kg,758.7200805
2019-20,Southern,Mango,kg,159.8719638
2019-20,Southern,Margarine - blue band,kg,2833.333249
2019-20,Southern,Meal eaten at restaurant,kg,1597.794055
2019-20,Southern,Meat (vendor),kg,2904.650689
2019-20,Southern,Mushroom,kg,497.6452008
2019-20,Southern,Mutton,kg,1673.333333
2019-20,Southern,Nkhwani,kg,445.6805036
2019-20,Southern,Okra / therere,kg,146.1549065
2019-20,Southern,Onion,kg,703.983045
2019-20,Southern,Orange sweet potato,kg,146.4059333
2019-20,Southern,Other (specify),kg,1110.504984
2019-20,Southern,Other cultivated green leafy vegetables,kg,350.8430913
2019-20,Southern,Other fruits (specify),kg,439.0396943
2019-20,Southern,"Other poultry - guinea fowl, doves, etc",kg,387.9425423
2019-20,Southern,Papaya,kg,155.5112726
2019-20,Southern,Pearl millet (mchewere),kg,329.4865523
2019-20,Southern,Pigeon pea (nandolo),kg,498.1329794
2019-20,Southern,Pineapple,kg,439.5620007
2019-20,Southern,"Plantain, cooking banana",kg,254.4749363
2019-20,Southern,Popcorn,kg,1288.909549
2019-20,Southern,Pork,kg,1453.812321
2019-20,Southern,Potato crisps,kg,6897.829866
2019-20,Southern,Powdered milk,kg,15305.33234
2019-20,Southern,Pumpkin,kg,97.63428002
2019-20,Southern,Rice,kg,612.7172028
2019-20,Southern,Roasted groundnuts,kg,748.211567
2019-20,Southern,Roasted sweet potatoes,kg,123.1139612
2019-20,Southern,Salt,kg,480.7052745
2019-20,Southern,Samosa (vendor),kg,1352.098626
2019-20,Southern,"Small animal – rabbit, mice, etc",kg,726.9826879
2019-20,Southern,Smoked fish (large variety),kg,4405.377278
2019-20,Southern,Smoked fish (medium variety),kg,5331.344057
2019-20,Southern,Smoked fish (small variety),kg,3366.385763
2019-20,Southern,"Soft drinks (coca-cola, fanta, sprite, etc)",kg,326.6986907
2019-20,Southern,Sorghum (mapira),kg,305.5227696
2019-20,Southern,Soyabean flour,kg,639.4193123
2019-20,Southern,"Spaghetti, macaroni, pasta",kg,1039.015138
2019-20,Southern,Spices,kg,3393.872429
2019-20,Southern,Squash (sobo drink concentrate),kg,956.3369186
2019-20,Southern,Sugar,kg,726.2016801
2019-20,Southern,Sugar cane,kg,53.98495043
2019-20,Southern,Sun dried fish (large variety),kg,995.0298855
2019-20,Southern,Sun dried fish (medium variety),kg,5827.853916
2019-20,Southern,Sun dried fish (small variety),kg,3054.270269
2019-20,Southern,"Sweets, candy, chocolates",kg,138.4140225
2019-20,Southern,Tanaposi/rape,kg,281.0353603
2019-20,Southern,Tea,kg,2029.07984
2019-20,Southern,"Termites, other insects (eg ngumbi, caterpillar)",kg,2570.549185
2019-20,Southern,Thobwa,kg,121.3165595
2019-20,Southern,Tinned meat or fish,kg,1672.094017
2019-20,Southern,Tinned vegetables (specify),kg,
2019-20,Southern,Tomato,kg,441.7885683
2019-20,Southern,Tomato sauce (bottle),kg,36851.38889
2019-20,Southern,Traditional beer (masese),kg,257.7318501
2019-20,Southern,Wheat flour,kg,661.3804714
2019-20,Southern,White sweet potato,kg,134.4857277
2019-20,Southern,"Wild fruit (masau, malambe, etc)",kg,374.9830675
2019-20,Southern,Wine or commercial liquor,kg,1078.772575
2019-20,Southern,"Yeast, baking powder, bicarbonate of soda",kg,814.632703
2019-20,Southern,Yoghurt,kg,1227.230822
2019-20,Southern,Zikondamoyo / nkate,kg,374.1066518
