t,m,j,u,Price
2019-20,Southern,Butter,kg,3047.568437
2019-20,Southern,Cabbage,kg,146.2973387
2019-20,Southern,Cassava - Boiled (Vendor),kg,161.3533992
2019-20,Southern,Cassava - Boiled (Vendor),kg,943.9457652
2019-20,Southern,Cassava Flour,kg,320.78871
2019-20,Southern,Cassava Tubers,kg,266.891592
2019-20,Southern,Chambiko - Soured Milk,kg,875.9899385
2019-20,Southern,Cheese,kg,4666.666667
2019-20,Southern,Chibuku(Commercial Traditional-Style Beer),kg,521.7037113
2019-20,Southern,Chicken (Vendor),kg,3252.974484
2019-20,Southern,Chicken - pieces,kg,502.1920519
2019-20,Southern,Chicken,kg,4581.752071
2019-20,Southern,Chinese Cabbage,kg,329.3962291
2019-20,Southern,Chips (Vendor),kg,1015.858682
2019-20,Southern,"Citrus, Naartje, Orange, E",kg,343.2376137
2019-20,Southern,"Cocoa, Milo",kg,11341.9929
2019-20,Southern,Cocoyam (Masimbi),kg,573.1481587
2019-20,Southern,Coffee,kg,21724.6737
2019-20,Southern,Cooking Oil,kg,1193.028268
2019-20,Southern,Cowpea (Khobwe),kg,570.6903879
2019-20,Southern,Cucumber,kg,267.0099793
2019-20,Southern,Eggs,kg,1573.602739
2019-20,Southern,Eggs - Boiled (Vendor),kg,1645.593907
2019-20,Southern,Finger Millet,kg,782.6378977
2019-20,Southern,Fish (Vendor),kg,1742.122
2019-20,Southern,Fish Soup/Sauce,kg,
2019-20,Southern,Freezes (Flavoured Ice),kg,172.8984743
2019-20,Southern,Fresh Fish (Large Variety),kg,3706.196226
2019-20,Southern,Fresh Fish (Medium Variety),kg,3173.141226
2019-20,Southern,Fresh Fish (Small Variety),kg,1555.04677
2019-20,Southern,Fresh Milk,kg,512.0232753
2019-20,Southern,Fruit Juice,kg,448.2621295
2019-20,Southern,Gathered Wild Green Leaves,kg,362.310202
2019-20,Southern,Goat,kg,2145.679052
2019-20,Southern,Green Maize,kg,209.1646385
2019-20,Southern,Ground Bean,kg,897.9516541
2019-20,Southern,Groundnut Flour,kg,883.9257848
2019-20,Southern,Groundnut Dried (Unshelled),kg,793.3195272
2019-20,Southern,Groundnut Flour,kg,1234.349999
2019-20,Southern,Groundnut Fresh (Unshelled),kg,115305.5658
2019-20,Southern,Guava,kg,278.8523554
2019-20,Southern,Honey,kg,4506.682776
2019-20,Southern,"Hot Sauce (Nali, Etc.)",kg,2578.678001
2019-20,Southern,Infant Feeding Cereals,kg,2360.541311
2019-20,Southern,Infant Feeding Formula,kg,4819.969697
2019-20,Southern,Irish Potato,kg,476.7127545
2019-20,Southern,"Jam, Jelly, Honey",kg,2632.954545
2019-20,Southern,Kalongonda (Mucuna),kg,334.3355225
2019-20,Southern,Locally Brewed Liquor,kg,680.6406576
2019-20,Southern,Macademia Nuts,kg,2153.148443
2019-20,Southern,Maheu,kg,596.8572664
2019-20,Southern,Maize - Boiled Or Roasted,kg,278.0204852
2019-20,Southern,Maize Grain (Not As Ufa),kg,379.3486626
2019-20,Southern,Maize Ufa Mgaiwa (Normal F,kg,359.059051
2019-20,Southern,Maize Ufa Madeya (Bran Flo,kg,286.2053963
2019-20,Southern,Maize ufa raw madeya (bran flour - unprocessed),kg,344.322621
2019-20,Southern,Maize Ufa Refined (Fine Fl,kg,429.9464121
2019-20,Southern,"Mandazi, Doughnut (Vendor)",kg,758.7200805
2019-20,Southern,Mango,kg,159.8719638
2019-20,Southern,Margarine,kg,2833.333249
2019-20,Southern,Meat Eaten At Restaurant,kg,1597.794055
2019-20,Southern,Meat (Vendor),kg,2904.650689
2019-20,Southern,Mushroom,kg,497.6452008
2019-20,Southern,Mutton,kg,1673.333333
2019-20,Southern,Nkwani,kg,445.6805036
2019-20,Southern,Okra/Therere,kg,146.1549065
2019-20,Southern,Onion,kg,703.983045
2019-20,Southern,Orange Sweet Potato,kg,146.4059333
2019-20,Southern,Other (Specify),kg,1110.504984
2019-20,Southern,Other Cultivated Green Lea,kg,350.8430913
2019-20,Southern,Other Fruits,kg,439.0396943
2019-20,Southern,"Other Poultry-Guinea Fowl,",kg,387.9425423
2019-20,Southern,Papaya,kg,155.5112726
2019-20,Southern,Pearl Millet,kg,329.4865523
2019-20,Southern,Pigeon Pea (Nandolo),kg,498.1329794
2019-20,Southern,Pineapple,kg,439.5620007
2019-20,Southern,"Plantain, Cooking Banana",kg,254.4749363
2019-20,Southern,Popcorn,kg,1288.909549
2019-20,Southern,Pork,kg,1453.812321
2019-20,Southern,Potato Crisps,kg,6897.829866
2019-20,Southern,Powdered Milk,kg,15305.33234
2019-20,Southern,Pumpkin,kg,97.63428002
2019-20,Southern,Rice,kg,612.7172028
2019-20,Southern,Roasted groundnuts,kg,748.211567
2019-20,Southern,Roasted sweet potatoes,kg,123.1139612
2019-20,Southern,Salt,kg,480.7052745
2019-20,Southern,Samosa (Vendor),kg,1352.098626
2019-20,Southern,"Small Animal- Rabbit, Mice",kg,726.9826879
2019-20,Southern,Smoked Fish (Large Variety),kg,4405.377278
2019-20,Southern,Smoked Fish (Medium Variety),kg,5331.344057
2019-20,Southern,Smoked Fish (Small Variety),kg,3366.385763
2019-20,Southern,"Soft Drinks (Coca Cola, Fa",kg,326.6986907
2019-20,Southern,Sorghum,kg,305.5227696
2019-20,Southern,Soyabean Flour,kg,639.4193123
2019-20,Southern,"Spaghetti, Macaroni, Pasta",kg,1039.015138
2019-20,Southern,Spices,kg,3393.872429
2019-20,Southern,Squash (Sobo Drink Concent,kg,956.3369186
2019-20,Southern,Sugar,kg,726.2016801
2019-20,Southern,Sugar Cane,kg,53.98495043
2019-20,Southern,Sun Dried Fish (Large Variety),kg,995.0298855
2019-20,Southern,Sun Dried Fish (Medium Variety),kg,5827.853916
2019-20,Southern,Sun Dried Fish (Small Variety),kg,3054.270269
2019-20,Southern,"Sweets, Candy, Chocolates",kg,138.4140225
2019-20,Southern,Tanaposi Rape,kg,281.0353603
2019-20,Southern,Tea,kg,2029.07984
2019-20,Southern,"Termites, Other Insect",kg,2570.549185
2019-20,Southern,Thobwa,kg,121.3165595
2019-20,Southern,Tinned Meat Or Fish,kg,1672.094017
2019-20,Southern,Tinned Vegetables,kg,
2019-20,Southern,Tomato,kg,441.7885683
2019-20,Southern,Tomato Sauce (Bottle),kg,36851.38889
2019-20,Southern,Traditional Beer (Masase),kg,257.7318501
2019-20,Southern,Wheat Flour,kg,661.3804714
2019-20,Southern,White Sweet Potato,kg,134.4857277
2019-20,Southern,"Wild Fruit (Masau, Mlambe,",kg,374.9830675
2019-20,Southern,Wine Or Commercial Liquor,kg,1078.772575
2019-20,Southern,"Yeast, Baking Powder, Bica",kg,814.632703
2019-20,Southern,Yoghurt,kg,1227.230822
2019-20,Southern,Zikondamoyo/Nkate,kg,374.1066518
