i,t,m,Rural
10304002073,2004-05,North,1
10304002080,2004-05,North,1
10304002084,2004-05,North,1
10304002111,2004-05,North,1
10304002120,2004-05,North,1
10304002132,2004-05,North,1
10304002143,2004-05,North,1
10304002153,2004-05,North,1
10304002163,2004-05,North,1
10304002165,2004-05,North,1
10304002169,2004-05,North,1
10304002192,2004-05,North,1
10304002203,2004-05,North,1
10304002206,2004-05,North,1
10304002213,2004-05,North,1
10305002016,2004-05,North,1
10305002052,2004-05,North,1
10305002124,2004-05,North,1
10305002136,2004-05,North,1
10305002193,2004-05,North,1
10305002194,2004-05,North,1
10305002206,2004-05,North,1
10305002207,2004-05,North,1
10305002223,2004-05,North,1
10305002239,2004-05,North,1
10305002242,2004-05,North,1
10305002259,2004-05,North,1
10305002312,2004-05,North,1
10305002326,2004-05,North,1
10305002355,2004-05,North,1
10305002382,2004-05,North,1
10305002392,2004-05,North,1
10305002429,2004-05,North,1
10305002437,2004-05,North,1
10305002454,2004-05,North,1
10306008007,2004-05,North,1
10306008014,2004-05,North,1
10306008040,2004-05,North,1
10306008045,2004-05,North,1
10306008068,2004-05,North,1
10306008102,2004-05,North,1
10306008113,2004-05,North,1
10306008116,2004-05,North,1
10306008118,2004-05,North,1
10306008121,2004-05,North,1
10306008140,2004-05,North,1
10306008142,2004-05,North,1
10306008158,2004-05,North,1
10306008161,2004-05,North,1
10306008171,2004-05,North,1
10306008201,2004-05,North,1
10306008205,2004-05,North,1
10306008216,2004-05,North,1
10306008220,2004-05,North,1
10306008261,2004-05,North,1
10306009011,2004-05,North,1
10306009040,2004-05,North,1
10306009088,2004-05,North,1
10306009092,2004-05,North,1
10306009094,2004-05,North,1
10306009111,2004-05,North,1
10306009125,2004-05,North,1
10306009126,2004-05,North,1
10306009156,2004-05,North,1
10306009164,2004-05,North,1
10306009167,2004-05,North,1
10306009177,2004-05,North,1
10306009185,2004-05,North,1
10306009195,2004-05,North,1
10306009235,2004-05,North,1
10306009278,2004-05,North,1
10306009304,2004-05,North,1
10306009306,2004-05,North,1
10306009334,2004-05,North,1
10306009350,2004-05,North,1
10306010006,2004-05,North,1
10306010007,2004-05,North,1
10306010015,2004-05,North,1
10306010018,2004-05,North,1
10306010043,2004-05,North,1
10306010046,2004-05,North,1
10306010081,2004-05,North,1
10306010087,2004-05,North,1
10306010104,2004-05,North,1
10306010123,2004-05,North,1
10306010131,2004-05,North,1
10306010157,2004-05,North,1
10306010176,2004-05,North,1
10306010214,2004-05,North,1
10306010241,2004-05,North,1
10306010250,2004-05,North,1
10306010264,2004-05,North,1
10306010267,2004-05,North,1
10306010326,2004-05,North,1
10306010351,2004-05,North,1
10307004009,2004-05,North,1
10307004058,2004-05,North,1
10307004091,2004-05,North,1
10307004092,2004-05,North,1
10307004153,2004-05,North,1
10307004155,2004-05,North,1
10307004175,2004-05,North,1
10307004240,2004-05,North,1
10307004247,2004-05,North,1
10307004249,2004-05,North,1
10307004274,2004-05,North,1
10307004276,2004-05,North,1
10307004282,2004-05,North,1
10307004283,2004-05,North,1
10307004295,2004-05,North,1
10307004300,2004-05,North,1
10307004316,2004-05,North,1
10307004352,2004-05,North,1
10307004378,2004-05,North,1
10307004400,2004-05,North,1
10308001005,2004-05,North,1
10308001028,2004-05,North,1
10308001066,2004-05,North,1
10308001075,2004-05,North,1
10308001103,2004-05,North,1
10308001111,2004-05,North,1
10308001132,2004-05,North,1
10308001158,2004-05,North,1
10308001172,2004-05,North,1
10308001199,2004-05,North,1
10308001222,2004-05,North,1
10308001234,2004-05,North,1
10308001263,2004-05,North,1
10308001279,2004-05,North,1
10308001286,2004-05,North,1
10308001301,2004-05,North,1
10308001357,2004-05,North,1
10308001388,2004-05,North,1
10308001399,2004-05,North,1
10308001403,2004-05,North,1
10308005003,2004-05,North,1
10308005018,2004-05,North,1
10308005021,2004-05,North,1
10308005050,2004-05,North,1
10308005065,2004-05,North,1
10308005085,2004-05,North,1
10308005109,2004-05,North,1
10308005177,2004-05,North,1
10308005193,2004-05,North,1
10308005196,2004-05,North,1
10308005207,2004-05,North,1
10308005215,2004-05,North,1
10308005227,2004-05,North,1
10308005247,2004-05,North,1
10308005266,2004-05,North,1
10308005282,2004-05,North,1
10308005295,2004-05,North,1
10308005302,2004-05,North,1
10308005329,2004-05,North,1
10308005349,2004-05,North,1
10309004013,2004-05,North,1
10309004017,2004-05,North,1
10309004021,2004-05,North,1
10309004038,2004-05,North,1
10309004050,2004-05,North,1
10309004054,2004-05,North,1
10309004055,2004-05,North,1
10309004056,2004-05,North,1
10309004065,2004-05,North,1
10309004070,2004-05,North,1
10309004071,2004-05,North,1
10309004075,2004-05,North,1
10309004078,2004-05,North,1
10309004100,2004-05,North,1
10309004104,2004-05,North,1
10309004133,2004-05,North,1
10309004165,2004-05,North,1
10309004175,2004-05,North,1
10309004178,2004-05,North,1
10309004179,2004-05,North,1
10401005025,2004-05,North,1
10401005027,2004-05,North,1
10401005041,2004-05,North,1
10401005043,2004-05,North,1
10401005048,2004-05,North,1
10401005094,2004-05,North,1
10401005100,2004-05,North,1
10401005108,2004-05,North,1
10401005163,2004-05,North,1
10401005175,2004-05,North,1
10401005222,2004-05,North,1
10401005245,2004-05,North,1
10401005246,2004-05,North,1
10401005249,2004-05,North,1
10401005251,2004-05,North,1
10401005254,2004-05,North,1
10401005257,2004-05,North,1
10401005271,2004-05,North,1
10401005288,2004-05,North,1
10401005289,2004-05,North,1
10401031020,2004-05,North,1
10401031024,2004-05,North,1
10401031029,2004-05,North,1
10401031031,2004-05,North,1
10401031035,2004-05,North,1
10401031046,2004-05,North,1
10401031048,2004-05,North,1
10401031050,2004-05,North,1
10401031055,2004-05,North,1
10401031082,2004-05,North,1
10401031083,2004-05,North,1
10401031093,2004-05,North,1
10401031096,2004-05,North,1
10401031168,2004-05,North,1
10401031199,2004-05,North,1
10401031209,2004-05,North,1
10401031221,2004-05,North,1
10401031232,2004-05,North,1
10401031243,2004-05,North,1
10401031248,2004-05,North,1
10401038064,2004-05,North,1
10401038067,2004-05,North,1
10401038071,2004-05,North,1
10401038081,2004-05,North,1
10401038091,2004-05,North,1
10401038093,2004-05,North,1
10401038102,2004-05,North,1
10401038110,2004-05,North,1
10401038129,2004-05,North,1
10401038132,2004-05,North,1
10401038140,2004-05,North,1
10401038176,2004-05,North,1
10401038180,2004-05,North,1
10401038188,2004-05,North,1
10401038204,2004-05,North,1
10401038205,2004-05,North,1
10401038212,2004-05,North,1
10401038216,2004-05,North,1
10401038221,2004-05,North,1
10401038258,2004-05,North,1
10402002028,2004-05,North,1
10402002036,2004-05,North,1
10402002071,2004-05,North,1
10402002079,2004-05,North,1
10402002085,2004-05,North,1
10402002094,2004-05,North,1
10402002128,2004-05,North,1
10402002165,2004-05,North,1
10402002188,2004-05,North,1
10402002197,2004-05,North,1
10402002204,2004-05,North,1
10402002220,2004-05,North,1
10402002227,2004-05,North,1
10402002228,2004-05,North,1
10402002240,2004-05,North,1
10402002252,2004-05,North,1
10402002270,2004-05,North,1
10402002280,2004-05,North,1
10402002337,2004-05,North,1
10402002358,2004-05,North,1
10403004013,2004-05,North,1
10403004016,2004-05,North,1
10403004051,2004-05,North,1
10403004053,2004-05,North,1
10403004072,2004-05,North,1
10403004100,2004-05,North,1
10403004117,2004-05,North,1
10403004145,2004-05,North,1
10403004165,2004-05,North,1
10403004168,2004-05,North,1
10403004208,2004-05,North,1
10403004220,2004-05,North,1
10403004225,2004-05,North,1
10403004229,2004-05,North,1
10403004240,2004-05,North,1
10403004249,2004-05,North,1
10403004252,2004-05,North,1
10403004270,2004-05,North,1
10403004291,2004-05,North,1
10403004303,2004-05,North,1
10404001001,2004-05,North,1
10404001007,2004-05,North,1
10404001011,2004-05,North,1
10404001015,2004-05,North,1
10404001021,2004-05,North,1
10404001030,2004-05,North,1
10404001034,2004-05,North,1
10404001037,2004-05,North,1
10404001040,2004-05,North,1
10404001047,2004-05,North,1
10404001054,2004-05,North,1
10404001055,2004-05,North,1
10404001064,2004-05,North,1
10404001071,2004-05,North,1
10404001078,2004-05,North,1
10404001085,2004-05,North,1
10404001088,2004-05,North,1
10404001099,2004-05,North,1
10404001102,2004-05,North,1
10404001121,2004-05,North,1
10404010010,2004-05,North,1
10404010022,2004-05,North,1
10404010032,2004-05,North,1
10404010047,2004-05,North,1
10404010055,2004-05,North,1
10404010066,2004-05,North,1
10404010094,2004-05,North,1
10404010109,2004-05,North,1
10404010116,2004-05,North,1
10404010119,2004-05,North,1
10404010128,2004-05,North,1
10404010137,2004-05,North,1
10404010151,2004-05,North,1
10404010162,2004-05,North,1
10404010168,2004-05,North,1
10404010187,2004-05,North,1
10404010201,2004-05,North,1
10404010209,2004-05,North,1
10404010219,2004-05,North,1
10404010221,2004-05,North,1
10407001020,2004-05,North,1
10407001029,2004-05,North,1
10407001032,2004-05,North,1
10407001035,2004-05,North,1
10407001042,2004-05,North,1
10407001053,2004-05,North,1
10407001061,2004-05,North,1
10407001068,2004-05,North,1
10407001072,2004-05,North,1
10407001074,2004-05,North,1
10407001077,2004-05,North,1
10407001087,2004-05,North,1
10407001099,2004-05,North,1
10407001104,2004-05,North,1
10407001109,2004-05,North,1
10407001118,2004-05,North,1
10407001128,2004-05,North,1
10407001137,2004-05,North,1
10407001138,2004-05,North,1
10407001139,2004-05,North,1
10408005006,2004-05,North,1
10408005029,2004-05,North,1
10408005030,2004-05,North,1
10408005041,2004-05,North,1
10408005053,2004-05,North,1
10408005077,2004-05,North,1
10408005088,2004-05,North,1
10408005089,2004-05,North,1
10408005106,2004-05,North,1
10408005111,2004-05,North,1
10408005112,2004-05,North,1
10408005136,2004-05,North,1
10408005151,2004-05,North,1
10408005180,2004-05,North,1
10408005182,2004-05,North,1
10408005187,2004-05,North,1
10408005192,2004-05,North,1
10408005212,2004-05,North,1
10408005220,2004-05,North,1
10408005228,2004-05,North,1
10408007006,2004-05,North,1
10408007007,2004-05,North,1
10408007022,2004-05,North,1
10408007028,2004-05,North,1
10408007073,2004-05,North,1
10408007075,2004-05,North,1
10408007123,2004-05,North,1
10408007127,2004-05,North,1
10408007130,2004-05,North,1
10408007141,2004-05,North,1
10408007149,2004-05,North,1
10408007152,2004-05,North,1
10408007157,2004-05,North,1
10408007173,2004-05,North,1
10408007176,2004-05,North,1
10408007188,2004-05,North,1
10408007195,2004-05,North,1
10408007200,2004-05,North,1
10408007211,2004-05,North,1
10408007256,2004-05,North,1
10409001002,2004-05,North,1
10409001043,2004-05,North,1
10409001045,2004-05,North,1
10409001079,2004-05,North,1
10409001143,2004-05,North,1
10409001155,2004-05,North,1
10409001166,2004-05,North,1
10409001203,2004-05,North,1
10409001208,2004-05,North,1
10409001272,2004-05,North,1
10409001285,2004-05,North,1
10409001286,2004-05,North,1
10409001305,2004-05,North,1
10409001308,2004-05,North,1
10409001313,2004-05,North,1
10409001338,2004-05,North,1
10409001368,2004-05,North,1
10409001376,2004-05,North,1
10409001406,2004-05,North,1
10409001446,2004-05,North,1
10420704028,2004-05,North,1
10420704051,2004-05,North,1
10420704061,2004-05,North,1
10420704094,2004-05,North,1
10420704114,2004-05,North,1
10420704128,2004-05,North,1
10420704132,2004-05,North,1
10420704177,2004-05,North,1
10420704197,2004-05,North,1
